"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","delayed"
2007,3,1,4,1127,1100,1331,1315,"WN",1668,"N675AA",64,75,52,16,27,"LAS","TUS",365,3,9,0,,0,16,0,0,0,0,"YES"
2007,3,1,4,849,855,1006,1020,"WN",1762,"N234WN",77,85,60,-14,-6,"RNO","LAX",390,5,12,0,,0,0,0,0,0,0,"NO"
2007,3,1,4,2129,2125,2340,2330,"WN",498,"N506SW",71,65,47,10,4,"SAN","PHX",304,5,19,0,,0,0,0,0,0,0,"NO"
2007,3,1,4,2206,2135,2314,2250,"WN",1999,"N267WN",68,75,53,24,31,"SJC","SAN",417,4,11,0,,0,0,0,0,0,24,"YES"
2007,3,1,4,2141,2145,2251,2305,"WN",209,"N235WN",70,80,57,-14,-4,"SMF","LAX",373,3,10,0,,0,0,0,0,0,0,"NO"
2007,3,1,4,609,610,842,900,"WN",999,"N478WN",93,110,80,-18,-1,"SMF","PHX",647,5,8,0,,0,0,0,0,0,0,"NO"
2007,3,1,4,1204,1150,1336,1325,"WN",474,"N317WN",92,95,80,11,14,"STL","OKC",462,3,9,0,,0,0,0,0,0,0,"NO"
2007,3,2,5,1357,1340,1732,1655,"WN",2418,"N341SW",215,195,196,37,17,"BDL","TPA",1111,4,15,0,,0,0,0,20,0,17,"YES"
2007,3,2,5,604,605,629,645,"WN",429,"N249WN",85,100,73,-16,-1,"BOI","OAK",511,5,7,0,,0,0,0,0,0,0,"NO"
2007,3,2,5,1824,1825,1949,2005,"WN",1288,"N724SW",145,160,126,-16,-1,"MDW","DEN",895,6,13,0,,0,0,0,0,0,0,"NO"
2007,3,2,5,1112,1055,1208,1155,"WN",2440,"N313SW",176,180,156,13,17,"OMA","LAS",1099,7,13,0,,0,0,0,0,0,0,"YES"
2007,3,2,5,1531,1510,1537,1515,"WN",1194,"N743SW",66,65,56,22,21,"PHX","ONT",325,3,7,0,,0,3,0,1,0,18,"YES"
2007,3,3,6,1936,1940,2148,2150,"WN",736,"N682SW",72,70,55,-2,-4,"LAS","TUS",365,4,13,0,,0,0,0,0,0,0,"NO"
2007,3,3,6,1239,1240,1332,1340,"WN",287,"N638SW",53,60,39,-8,-1,"ONT","LAS",197,6,8,0,,0,0,0,0,0,0,"NO"
2007,3,3,6,2005,2010,2019,2020,"WN",1469,"N486WN",74,70,53,-1,-5,"PHX","ONT",325,12,9,0,,0,0,0,0,0,0,"NO"
2007,3,3,6,2007,2010,2115,2130,"WN",2790,"N703SW",68,80,59,-15,-3,"SNA","OAK",371,4,5,0,,0,0,0,0,0,0,"NO"
2007,3,3,6,800,800,852,850,"WN",2837,"N519SW",52,50,40,2,0,"TUL","MCI",223,5,7,0,,0,0,0,0,0,0,"NO"
2007,3,4,7,2130,2125,2359,2355,"WN",2658,"N765SW",89,90,76,4,5,"BNA","BWI",588,5,8,0,,0,0,0,0,0,0,"NO"
2007,3,4,7,1214,1215,1257,1300,"WN",2673,"N509SW",43,45,30,-3,-1,"HOU","AUS",148,3,10,0,,0,0,0,0,0,0,"NO"
2007,3,4,7,1738,1740,1834,1845,"WN",501,"N779SW",56,65,46,-11,-2,"LAS","SAN",258,2,8,0,,0,0,0,0,0,0,"NO"
2007,3,4,7,2007,1910,2105,2010,"WN",2067,"N653SW",58,60,46,55,57,"LAS","SAN",258,2,10,0,,0,0,0,0,13,42,"YES"
2007,3,4,7,1926,1900,2027,2015,"WN",226,"N313SW",61,75,51,12,26,"LAX","OAK",337,4,6,0,,0,0,0,0,0,0,"YES"
2007,3,4,7,722,725,840,905,"WN",1038,"N528SW",198,220,180,-25,-3,"MCI","LAX",1363,5,13,0,,0,0,0,0,0,0,"NO"
2007,3,4,7,708,710,948,955,"WN",1479,"N255WN",100,105,86,-7,-2,"MDW","BWI",611,7,7,0,,0,0,0,0,0,0,"NO"
2007,3,4,7,1551,1550,1707,1710,"WN",2450,"N451WN",76,80,55,-3,1,"SNA","OAK",371,15,6,0,,0,0,0,0,0,0,"NO"
